Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
63	-1911.6829	8.789927	-1902.4891	-1924.027	1000.0	-188.29729	0.0006848716	-188.28555	-188.29773	256000	4.656613e-09	789.8982	-0.0123143345	-1.36969	0.38945368	0.015080517	0.15274999	16.0	263.1711242198944
64	-1902.5547	12.2832365	-1881.6838	-1912.609	1000.0	-188.59581	0.00062732765	-188.59016	-188.5962	260000	-2.7939677e-08	744.46735	-0.016627945	-0.40563965	0.3890615	0.013337755	0.1575	79.0	271.22812056541443
65	-1909.6964	5.5212893	-1904.0894	-1917.537	1000.0	-188.76622	0.0006812645	-188.76062	-188.76665	264000	5.355105e-09	760.94324	-0.013540669	-0.8483124	0.38790706	0.015866589	0.1665	18.0	275.3231213092804
66	-1912.5693	9.988397	-1903.8572	-1928.6788	1000.0	-189.00278	0.0006662492	-188.99254	-189.00319	268000	1.0244548e-08	784.05164	-0.016280808	-0.977478	0.38549456	0.014652277	0.14225	79.0	279.62612414360046
67	-1924.4843	17.05967	-1902.3119	-1942.7931	1000.0	-189.26587	0.00068939896	-189.26044	-189.26633	272000	-9.313226e-09	777.84143	-0.018787257	-1.9835968	0.3848312	0.010689683	0.15125	79.0	284.1141242980957
68	-1914.2126	6.4782534	-1905.2866	-1920.7109	1000.0	-189.64333	0.0006688475	-189.63857	-189.64375	276000	-1.3969839e-09	780.292	-0.020390585	-0.6769562	0.37677744	0.01505808	0.17275	77.0	289.2111234664917
69	-1908.2386	5.1445274	-1901.2272	-1914.2773	1000.0	-189.8809	0.00071881496	-189.87122	-189.88135	280000	1.8859282e-08	783.68036	-0.01724806	-0.16319275	0.3581574	0.013669096	0.13800001	79.0	297.88212513923645
70	-1900.9651	10.978271	-1882.8281	-1910.8713	1000.0	-190.00114	0.0006921362	-189.9951	-190.0016	284000	-5.5879354e-09	820.6726	-0.016862301	-0.00018310547	0.35351482	0.010080003	0.1435	79.0	303.0761225223541
71	-1884.1858	9.818956	-1869.8608	-1897.4011	1000.0	-190.00017	0.0006994577	-189.99123	-190.00064	288000	2.0489097e-08	773.278	-0.014277172	-0.59942627	0.34327617	0.013884895	0.13275	79.0	307.4581286907196
72	-1875.1458	9.527086	-1859.6877	-1884.2798	1000.0	-189.78265	0.00067506125	-189.77695	-189.78311	292000	1.8626451e-08	777.8407	-0.014875482	-1.2949524	0.33199048	0.008204838	0.12525	79.0	311.74212193489075
